,index,customerEmail,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,No_Transactions,No_Orders,No_Payments,Fraud,Total_transaction_amt,No_transactionsFail,PaymentRegFail,PaypalPayments,ApplePayments,CardPayments,BitcoinPayments,OrdersFulfilled,OrdersPending,OrdersFailed,JCB_16,AmericanExp,VISA_16,Discover,Voyager,VISA_13,Maestro,Mastercard,DC_CB,JCB_15,Trns_fail_order_fulfilled,Duplicate_IP,Fraud_Decoded,Duplicate_Address
93,110,barronelizabeth@singh.org,867.528.2694x83638,ck37pcnsqa9po9g1euae,130.55.185.234,"8663 Kaitlyn Key
Brittanyview, CT 46389",5,4,2,False,120,1,0,2,0,3,0,5,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0
94,111,phillip89@gmail.com,649-150-0665,jyk9fawabmu0yi4ee69q,2.47.31.110,"2672 Jeffrey Cove
Michaelport, ND 40991-4174",3,3,1,False,74,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
95,112,ugood@mosley.info,869-856-7969,qdrwvtooysq6q0i0asm7,7847:656d:453b:4e2d:8493:82f8:cff:502e,"88979 Jennifer Field Suite 069
Robertchester, CT 26498-8802",2,2,4,True,141,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
96,113,zgraham@yahoo.com,1-469-696-6266,t2ztblzdu5hhzuo5fl6g,114.134.196.43,"4608 Travis Spring
Sarahtown, KS 65613",5,4,3,False,119,2,0,0,1,4,0,5,0,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0
97,114,pchavez@randolph.com,(569)110-7736,ol87wpzs0jpsw13jlyko,acba:ba43:ae87:641c:3009:8355:c6ff:15b9,"3604 Lyons Prairie
Allenbury, WI 26089-9330",1,1,1,False,39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,115,marywalker@gmail.com,828-124-3490,kah1gtidszvnkih1lvtd,11.165.157.167,"4025 Rivera Mill
West Justin, UT 11158",4,3,3,True,82,1,0,0,0,4,0,3,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0
99,117,smithtonya@huffman.org,1-753-714-9977x4456,fd5khwqxgptuyvtl59mp,7243:82ce:52ca:f27b:f116:30c0:f704:59f3,"401 Linda Circles Apt. 670
Raymondton, OH 67056-3087",3,3,1,False,81,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
100,118,hamiltonchristopher@yahoo.com,(600)151-8836x7328,c9qyfs1gmssc5ia83wi0,117.6.168.209,"32609 Mark Vista Apt. 688
Huynhstad, MN 06562",2,1,3,False,78,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
101,119,amywright@wallace-johnson.com,629.489.3980,n29he2b6a841zcbiw2i9,254.155.117.48,"403 Anna Center Apt. 947
Meganhaven, GA 46627",6,6,1,True,312,1,6,0,0,0,6,3,0,3,0,0,6,0,0,0,0,0,0,0,1,0,1,0
102,120,iray@rogers.com,738-700-9649x102,qkkvc35qa3mx8g1t1jr2,4338:887b:3e9b:f16d:7257:2a21:6559:e9a4,"Unit 4843 Box 7401
DPO AP 92304-9120",5,5,5,True,227,0,0,0,0,5,0,4,0,1,0,0,2,0,1,0,0,0,2,0,0,0,1,0
103,121,ctaylor@yahoo.com,1-020-923-6697x8718,uu141ykhyig0cj3s98jr,dda2:66e0:4279:3c1b:ac29:4cbb:5ea3:c26b,"87096 Warren Turnpike
Howellview, WA 74727-2420",8,6,6,True,398,2,0,0,0,8,0,8,0,0,4,1,2,0,0,0,1,0,0,0,2,0,1,0
104,123,gomezjohn@yahoo.com,1-333-131-2746x6449,21rpvi89b6uon3c3x8gc,a8da:1d73:a062:6289:e6a6:7bcc:51b2:6dcb,"PSC 1043, Box 1089
APO AA 29395-9131",2,2,1,False,59,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
105,124,mullenstephanie@yahoo.com,(616)674-0266x776,056bfyj4m7svmdeex8z1,50.190.231.22,"3483 Frank Estate Apt. 466
Thomasburgh, MP 54561-8178",3,3,2,False,57,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
106,126,koneal@henderson.biz,059.431.5467x7848,gcfo5uheb9mugbstbjez,85.188.105.126,"056 Megan Trail Suite 355
West Zachary, GU 51278-2318",4,4,1,True,98,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
107,128,brianthomas@yahoo.com,04061905118,1djsf7mffce2xhvsf139,219.222.4.152,"9205 Jeremiah Field Suite 815
East Christopher, IA 93399",6,4,1,False,236,2,0,0,0,6,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
108,129,oaguirre@hotmail.com,1-856-006-5150,cvtpgtclxkvcwvr16cyd,ae37:8e14:bfc1:43c4:7dde:7b9e:ca7f:4721,"719 Jeremy Flat Apt. 914
Alexanderport, IA 97423-7424",1,1,4,True,47,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
109,130,joshua00@hotmail.com,+96(0)1872091077,y04p9bz3r8dmmcpqxgzm,a06a:af58:8d50:fe02:b3b5:a1d2:9251:9dec,"44361 Amy Curve
South Erictown, MN 32004",5,4,2,False,177,1,0,5,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
110,131,veronica42@stokes.com,111.180.1112x63480,s9jcp2b4ojffrdp99g95,f6b0:e228:1624:ac40:2b2e:e2d2:ff04:90ac,"51448 Robert Flat Suite 980
Williamsmouth, FL 67487-5651",1,1,1,False,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,132,cindydeleon@yahoo.com,01524024300,jy8lgca2hto8r58zw5oo,2ebe:381c:151a:9df5:65f5:808f:103d:d128,"USNS Ramos
FPO AE 16248",4,1,2,False,56,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0
112,133,johnlowery@gmail.com,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,True,1033,6,0,1,0,24,3,25,0,3,7,3,10,0,3,0,5,0,0,0,5,0,1,0
113,134,kyle64@stephens-ortiz.com,587.550.8830x64152,tvq298xvzj7zla68uz5h,196.30.166.8,"42423 Marco Summit
New Mark, FM 17715",5,4,1,False,129,1,5,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0
114,135,jordanthomas@hayes-wilson.biz,+36(0)4967812825,sfx5nec64m3aczye0lb4,227.48.202.65,"818 Andre Ferry
South Christopher, MA 53275",4,4,3,False,151,0,0,0,0,4,0,3,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
115,136,aliciaanthony@martin.com,+77(2)4526373005,9iac2it77dm615ucymx3,110.221.131.62,"265 Marisa Keys
Lynchmouth, WV 63252-7526",3,3,1,True,95,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
116,138,jenniferperry@hotmail.com,+27(2)4721167637,u4gxqno1iwgs4cn6502c,202.230.239.182,"16855 Lopez Tunnel
Port Stephanieville, PW 58997-9470",4,4,2,False,86,0,0,0,0,4,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0
117,140,lsanchez@hotmail.com,00256720158,o9cdi8b4zhrzzvp0hl2f,49.219.239.140,"044 Ronnie Run
South Dawn, CA 49202-3034",5,4,2,False,133,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
118,141,christinemills@mcgee.com,(651)355-4709,zbn9it3s7yl69bjtrnqf,45.203.99.249,"5156 Greene Park Apt. 748
New Sandra, CA 14802-7364",5,5,2,True,125,0,0,2,0,3,0,4,0,1,0,0,0,0,5,0,0,0,0,0,0,3,1,0
119,142,cuevasvicki@gmail.com,347-432-4171,gjieqcwj7nq91qkgdqb1,89f4:de6f:d732:11dd:c56:c6e1:ce7a:d888,"69632 Baker Prairie Suite 013
Gonzalezhaven, UT 17435",6,5,3,False,192,1,0,1,0,5,0,6,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0
120,143,mitchellgriffith@yahoo.com,1-321-386-6855x0101,72stamnugxuz9ls1xx98,158.185.147.61,"Unit 6719 Box 6044
DPO AE 33534",15,3,1,False,436,12,0,0,0,15,0,8,7,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0
121,144,gwilcox@hotmail.com,1-114-728-2835x715,3pfhcvbn8itarkhxl087,168.56.122.190,"77436 Denise Key Suite 828
Mayschester, AR 65254-4549",7,6,5,True,432,2,4,0,0,7,0,5,2,0,1,0,0,0,0,4,0,0,2,0,1,0,1,0
122,145,victorgarcia@gmail.com,937-523-6702x7281,1597k0yfivb94139vcj0,184.74.109.237,"PSC 9769, Box 5820
APO AP 17294",1,1,1,False,34,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,146,brittany60@yahoo.com,(172)959-5151,55uutypnlt0dve5gnzpx,174.86.116.243,"603 Sophia Flat Suite 158
South Wandaland, PR 07273-7503",5,4,2,False,217,1,0,0,0,4,1,4,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0
124,147,fharris@hotmail.com,828.921.8126,vq9wb7q19vwuirk37dcn,1a1c:b6f1:5c57:e9b8:28c0:edc0:9935:e55a,"5434 Olivia Junctions Suite 109
Crosbymouth, KY 63938",4,2,1,False,173,2,0,0,0,4,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
125,148,mercedesfinley@roman.org,569-710-0646x4095,qh7i8ad23hd5vosiuj5j,f15:32d4:97fb:c211:3d4e:a471:af9c:6c34,"03028 Brown Spring Suite 348
Elliottchester, WY 10834",5,5,4,False,130,0,0,0,1,4,0,5,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0
126,151,1yf0@jedyz63t,463-609-3475,j3a0155srqw0yeqvbgps,1fe2:1fa3:2a6f:845d:1037:2dac:2831:9d50,"12350 Nicholas Greens
Lawsonborough, NC 70237-3962",10,5,4,True,217,5,0,3,0,7,0,10,0,0,0,0,0,0,0,6,1,3,0,0,5,0,1,0
127,152,thomasryan@conrad.net,1-192-434-2783,spoo36hycxgbo0y2tap7,3.225.227.70,"00373 Hicks Keys Suite 407
Millerside, HI 98544-8185",5,3,2,False,117,2,0,3,2,0,0,3,2,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0
128,153,kwalsh@lopez-gomez.biz,04103378280,mdoe6wib243y09uaj95z,3162:1f06:9114:56d1:f5e8:bf3a:6ad0:b6f2,"0008 Jessica Stream
Mcbridetown, MH 04017",3,3,2,True,100,0,2,1,0,2,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
129,154,martinezlori@gmail.com,353.413.2223x82475,9ycz6r0ulpqtc04qxfke,d04c:1016:1b00:8a18:d9fc:5455:cae3:b97a,"PSC 1505, Box 0924
APO AP 49055",5,3,1,False,168,2,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0
130,155,johnlowery@gmail.com,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True,1033,6,0,1,0,24,3,25,0,3,7,3,10,0,3,0,5,0,0,0,5,0,1,0
131,156,stevehernandez@gmail.com,716-379-6345,felexq5xniffmhhlqdqm,601d:b1f3:1a48:e0ef:1452:906f:21dc:b526,"904 James Route Suite 595
Lake Ruth, CO 66976",6,5,1,False,180,1,0,0,6,0,0,3,1,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0
132,157,daniel98@lamb.com,758.182.1357x89421,lu49z4dhold8niozpl4w,d6d4:7645:ca31:dba3:42b0:c89a:d065:d67d,"6698 David Squares Apt. 540
Westburgh, MA 77937",1,1,1,False,16,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,158,ujackson@harris.com,852-231-3642x738,2k850f1rbwvju71sbhqp,99.149.12.193,"664 Maurice Row Suite 634
New Jodi, OR 56525",5,4,2,False,83,2,0,0,0,5,0,4,0,1,0,0,0,0,0,2,0,3,0,0,2,0,0,0
134,159,brittanyhicks@jones.com,579-193-1785x676,b054slok65d4k1t01u4a,89.73.189.96,"233 Jessica Lights
Port Sonya, SC 47511",2,1,1,False,66,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
135,160,deborah38@yahoo.com,06498402936,vc71dbmrdaz78jgi7nhl,8f3c:9e11:63b4:73bb:20d1:86c7:ab70:2e04,"391 Rogers Flats Apt. 287
North Rickchester, FM 35587",1,1,1,True,30,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
136,161,andre74@patrick-decker.com,150-073-8610,4gfo1e3xeirjanhwko92,d89c:db0:5ff9:a150:9e6c:482d:c900:fb33,"55197 Jeffrey Burgs Suite 700
Gardnerport, VA 04866-4230",5,4,4,True,198,1,0,0,1,4,0,5,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0
137,162,patrickcalderon@russo.net,444-358-6570x947,84z3gd4fiabz488ybv9p,2be:a4d5:eb39:fa22:2650:83d5:917f:5f23,"6223 Cheyenne Villages Suite 751
Coryborough, ID 21264-7220",3,2,1,False,110,1,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
138,163,mitchellvickie@brewer-jones.com,313-124-3836x3528,ecu7ezz0ue67v3fce1o3,181.90.104.120,"829 Ramirez Dam Suite 648
Gatesview, OR 55669-8691",3,3,1,True,126,0,0,0,0,3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0
139,164,sbrown@hughes.biz,(250)632-6631x02499,xgv918sclaz40qlp2fee,16.166.2.0,"9472 Pacheco Islands Suite 940
Drewburgh, AZ 04238",6,5,3,True,149,1,0,0,0,6,0,6,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1,0
140,165,johnlowery@gmail.com,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True,1033,6,0,1,0,24,3,25,0,3,7,3,10,0,3,0,5,0,0,0,5,0,1,0
141,166,ethompson@jackson-sanders.com,962.300.2250,navessqcnmc9csfjn5cj,203.246.172.244,"16953 Jennifer Springs
Kathybury, IL 02095-3215",8,6,6,True,378,2,0,0,0,6,2,7,0,1,2,2,0,0,3,0,1,0,0,0,2,0,1,0
142,167,dawn05@tucker-brown.com,(089)703-7360x8848,lu4fgcug8dr0dwbcuui1,132.132.95.33,"130 Kimberly Junctions
Ericmouth, KS 59756-2919",7,5,4,False,176,2,0,3,0,4,0,7,0,0,1,0,0,0,0,3,0,0,0,3,2,0,0,0
